id,title,description,link,image_link,checkout_link_template,availability,price,google_product_category,product_type,brand,gtin,mpn,identifier_exists,condition,item_group_id
790,"Shorts for Women (Black)","Elevate your casual wardrobe with these versatile Black Shorts for Women. Crafted from soft, breathable fabric, they offer a comfortable fit with a flattering, tailored design. Featuring an adjustable waistband and classic side pockets, these shorts are perfect for everyday wear, casual outings, or lounging. Their sleek black color makes them easy to pair with a variety of tops and accessories.",https://mcbeans-apparel.local/product/shorts-for-women-black/?utm_source=Google%20Shopping&amp;utm_campaign=UK%20GS%20Fashion&amp;utm_medium=cpc&amp;utm_term=790,https://mcbeans-apparel.local/wp-content/uploads/2024/07/Shorts-Women-Black.jpg,https://mcbeans-apparel.local/cart/?add-to-cart=790,in_stock,"USD 110.00",204,"Home &gt; Clothing &gt; Bottoms",Bailey,16001,16002,yes,New,
788,Schoolbag,"Stay organized and stylish with this durable Schoolbag. Designed for students of all ages, it features multiple compartments and pockets to keep books, supplies, and personal items neatly arranged. Made from high-quality, water-resistant fabric, this schoolbag offers comfort with padded straps and a supportive back panel. Available in various colors and designs, it’s perfect for everyday use, whether for school, extracurricular activities, or weekend adventures.",https://mcbeans-apparel.local/product/788/?utm_source=Google%20Shopping&amp;utm_campaign=UK%20GS%20Fashion&amp;utm_medium=cpc&amp;utm_term=788,https://mcbeans-apparel.local/wp-content/uploads/2024/07/Schoolbag.jpg,https://mcbeans-apparel.local/cart/?add-to-cart=788,in_stock,"USD 110.00",166,"Home &gt; Accessories","Halford Brown",15001,15002,yes,New,
786,"Plaid Shirt for Men (Blue)","Refresh your wardrobe with this classic Blue Plaid Shirt for Men. Made from soft, breathable fabric, it features a timeless plaid pattern in varying shades of blue. The shirt includes a button-down front, a crisp collar, and adjustable cuffs for a versatile fit. Perfect for casual outings or layered with a blazer for a smart-casual look, this shirt combines style and comfort effortlessly.",https://mcbeans-apparel.local/product/plaid-shirt-for-men-blue/?utm_source=Google%20Shopping&amp;utm_campaign=UK%20GS%20Fashion&amp;utm_medium=cpc&amp;utm_term=786,https://mcbeans-apparel.local/wp-content/uploads/2024/07/Plaid-Shirt-Blue.jpg,https://mcbeans-apparel.local/cart/?add-to-cart=786,in_stock,"USD 165.00",212,"Home &gt; Clothing &gt; Tops",Boisterous,14001,14002,yes,New,
784,"Party Shoes for Women (Pink)","Step out in style with these dazzling Pink Party Shoes for Women. Featuring a vibrant pink hue, these shoes are crafted from high-quality materials for comfort and durability. The elegant design includes a chic pointed toe, stiletto heel, and a sleek finish, making them p",https://mcbeans-apparel.local/product/party-shoes-for-women-pink/?utm_source=Google%20Shopping&amp;utm_campaign=UK%20GS%20Fashion&amp;utm_medium=cpc&amp;utm_term=784,https://mcbeans-apparel.local/wp-content/uploads/2024/07/Party-Shoes-Women-Pink-1.jpg,https://mcbeans-apparel.local/cart/?add-to-cart=784,in_stock,"USD 231.00",187,"Home &gt; Clothing &gt; Footwear","Polite Society",13001,13002,yes,New,
780,"Jeans for Women","Discover the perfect blend of style and comfort with these Jeans for Women. Crafted from high-quality denim, they feature a flattering fit that contours to your shape while offering flexibility and durability. Available in various styles such as skinny, straight-leg, and bootcut, these jeans come with classic details like a mid-rise waist, belt loops, and five-pocket design. Ideal for everyday wear, they easily transition from casual outings to more dressed-up occasions.",https://mcbeans-apparel.local/product/780/?utm_source=Google%20Shopping&amp;utm_campaign=UK%20GS%20Fashion&amp;utm_medium=cpc&amp;utm_term=780,https://mcbeans-apparel.local/wp-content/uploads/2024/07/Jeans-Women.jpg,https://mcbeans-apparel.local/cart/?add-to-cart=780,in_stock,"USD 231.00",204,"Home &gt; Clothing &gt; Bottoms",Bailey,12001,12002,yes,New,
777,"Hat (Pink)","Brighten up your look with this stylish Pink Hat. Made from soft, breathable fabric, it offers both comfort and a pop of color. The hat features an adjustable strap for a custom fit and a classic design that complements casual outfits. Whether youre heading to a sunny day out or just adding a fun touch to your ensemble, this versatile pink hat is a must-have accessory.",https://mcbeans-apparel.local/product/hat-pink/?utm_source=Google%20Shopping&amp;utm_campaign=UK%20GS%20Fashion&amp;utm_medium=cpc&amp;utm_term=777,https://mcbeans-apparel.local/wp-content/uploads/2024/07/Hat-Pink.jpg,https://mcbeans-apparel.local/cart/?add-to-cart=777,in_stock,"USD 66.00",2020,"Home &gt; Clothing &gt; Headwear",Porpoise,11001,11002,yes,New,
775,"Handbag (Blue)","Add a pop of color to your accessories collection with this stylish Blue Handbag. Crafted from durable, high-quality material, it features a sleek, modern design with ample space for your essentials. The handbag includes a secure zip closure, adjustable shoulder strap, and elegant hardware details. Perfect for both casual and professional settings, this versatile blue handbag is a chic and functional addition to any outfit.",https://mcbeans-apparel.local/product/handbag-blue/?utm_source=Google%20Shopping&amp;utm_campaign=UK%20GS%20Fashion&amp;utm_medium=cpc&amp;utm_term=775,https://mcbeans-apparel.local/wp-content/uploads/2024/07/Handbag-Blue.jpg,https://mcbeans-apparel.local/cart/?add-to-cart=775,in_stock,"USD 286.00",166,"Home &gt; Accessories","Halford Brown",10001,10002,yes,New,
773,"Dress (Pink)","Elevate your style with this elegant Pink Dress. Crafted from soft, high-quality fabric, it features a flattering fit-and-flare silhouette and a timeless design. The dress includes a classic round neckline, sleeveless or short sleeves, and a back zipper closure for a seamless fit. Perfect for a variety of occasions, from daytime events to evening outings, this versatile pink dress adds a touch of sophistication and charm to any wardrobe.",https://mcbeans-apparel.local/product/dress-pink/?utm_source=Google%20Shopping&amp;utm_campaign=UK%20GS%20Fashion&amp;utm_medium=cpc&amp;utm_term=773,https://mcbeans-apparel.local/wp-content/uploads/2024/07/Dress-Pink.jpg,https://mcbeans-apparel.local/cart/?add-to-cart=773,in_stock,"USD 286.00",212,"Home &gt; Clothing &gt; Tops",Lavender,9001,9002,yes,New,
771,"Dress (Floral)","Brighten up your wardrobe with this charming Floral Dress. Made from lightweight, comfortable fabric, it features a vibrant floral pattern that adds a fresh and feminine touch. The dress is designed with a flattering fit-and-flare silhouette, a classic round neckline, and adjustable straps or short sleeves for a customizable fit. Perfect for spring and summer events, this versatile dress can be dressed up with heels or worn casually with sandals.",https://mcbeans-apparel.local/product/dress-floral/?utm_source=Google%20Shopping&amp;utm_campaign=UK%20GS%20Fashion&amp;utm_medium=cpc&amp;utm_term=771,https://mcbeans-apparel.local/wp-content/uploads/2024/07/Dress-Floral.jpg,https://mcbeans-apparel.local/cart/?add-to-cart=771,in_stock,"USD 231.00",212,"Home &gt; Clothing &gt; Tops",Lavender,8001,8002,yes,New,
769,"Dress (Black, Floral)","Add a touch of sophistication with this Black Floral Dress. Crafted from soft, breathable fabric, it features an elegant floral pattern against a dark backdrop, creating a striking and refined look. The dress showcases a flattering A-line silhouette, a classic round neckline, and short sleeves, with a subtle back zipper for ease of wear. Ideal for both formal occasions and casual gatherings, this dress effortlessly combines style and comfort.",https://mcbeans-apparel.local/product/dress-black-floral/?utm_source=Google%20Shopping&amp;utm_campaign=UK%20GS%20Fashion&amp;utm_medium=cpc&amp;utm_term=769,https://mcbeans-apparel.local/wp-content/uploads/2024/07/Dress-Dark.jpg,https://mcbeans-apparel.local/cart/?add-to-cart=769,in_stock,"USD 286.00",212,"Home &gt; Clothing &gt; Tops",Lavender,7001,7002,yes,New,
767,"Dress (Blue, Checkered)","Step into effortless style with this Blue Checkered Dress. Crafted from soft, breathable fabric, it features a flattering fit-and-flare silhouette and a timeless checkered pattern. The dress is designed with a classic round neckline, short sleeves, and a convenient back zipper closure. Perfect for casual outings, brunch dates, or even the office, this versatile dress can be easily dressed up or down for any occasion.",https://mcbeans-apparel.local/product/dress-blue-checkered/?utm_source=Google%20Shopping&amp;utm_campaign=UK%20GS%20Fashion&amp;utm_medium=cpc&amp;utm_term=767,https://mcbeans-apparel.local/wp-content/uploads/2024/07/Dress-Checkered.jpg,https://mcbeans-apparel.local/cart/?add-to-cart=767,in_stock,"USD 286.00",212,"Home &gt; Clothing &gt; Tops",Lavender,6001,6002,yes,New,
765,"Cap (Red)","Add a pop of color to your outfit with this stylish Red Cap. Made from durable, breathable fabric, it offers a comfortable fit and all-day wear. Featuring an adjustable strap at the back, it ensures a secure and customizable fit for any head size. Perfect for casual outings, sports events, or adding a fun touch to your everyday look, this cap is a versatile accessory for any wardrobe.",https://mcbeans-apparel.local/product/765/?utm_source=Google%20Shopping&amp;utm_campaign=UK%20GS%20Fashion&amp;utm_medium=cpc&amp;utm_term=765,https://mcbeans-apparel.local/wp-content/uploads/2024/07/Cap-Red.jpg,https://mcbeans-apparel.local/cart/?add-to-cart=765,in_stock,"USD 66.00",2020,"Home &gt; Clothing &gt; Headwear",Cornswabble,5001,5002,yes,New,
763,"Cap (Pink)","Add a pop of color to your outfit with this stylish Pink Cap. Made from durable, breathable fabric, it offers a comfortable fit and all-day wear. Featuring an adjustable strap at the back, it ensures a secure and customizable fit for any head size. Perfect for casual outings, sports events, or adding a fun touch to your everyday look, this cap is a versatile accessory for any wardrobe.",https://mcbeans-apparel.local/product/cap-pink/?utm_source=Google%20Shopping&amp;utm_campaign=UK%20GS%20Fashion&amp;utm_medium=cpc&amp;utm_term=763,https://mcbeans-apparel.local/wp-content/uploads/2024/07/Cap-Pink.jpg,https://mcbeans-apparel.local/cart/?add-to-cart=763,in_stock,"USD 66.00",2020,"Home &gt; Clothing &gt; Headwear",Cornswabble,4001,4002,yes,New,
761,"Business Shirt for Men (White)","Enhance your professional wardrobe with this classic Mens White Business Shirt. Crafted from premium, breathable fabric, this shirt offers a comfortable fit with a polished look. Featuring a sharp, pointed collar and button-down front, its perfect for office wear or formal occasions. The versatile white hue pairs effortlessly with suits, ties, and dress trousers, making it a staple for any discerning gentleman.",https://mcbeans-apparel.local/product/business-shirt-for-men-white/?utm_source=Google%20Shopping&amp;utm_campaign=UK%20GS%20Fashion&amp;utm_medium=cpc&amp;utm_term=761,https://mcbeans-apparel.local/wp-content/uploads/2024/07/Business-Shirt-Men-White.jpg,https://mcbeans-apparel.local/cart/?add-to-cart=761,in_stock,"USD 165.00",212,"Home &gt; Clothing &gt; Tops",Boisterous,3001,3002,yes,New,
758,"Business Shirt for Men (Blue)","Enhance your professional wardrobe with this classic Mens Blue Business Shirt. Crafted from premium, breathable fabric, this shirt offers a comfortable fit with a polished look. Featuring a sharp, pointed collar and button-down front, its perfect for office wear or formal occasions. The versatile blue hue pairs effortlessly with suits, ties, and dress trousers, making it a staple for any discerning gentleman.",https://mcbeans-apparel.local/product/business-shirt-for-men-blue/?utm_source=Google%20Shopping&amp;utm_campaign=UK%20GS%20Fashion&amp;utm_medium=cpc&amp;utm_term=758,https://mcbeans-apparel.local/wp-content/uploads/2024/07/Business-Shirt-Men-Blue.jpg,https://mcbeans-apparel.local/cart/?add-to-cart=758,in_stock,"USD 165.00",212,"Home &gt; Clothing &gt; Tops",Boisterous,2001,2002,yes,New,
756,"Blazer for Women (White)","Upgrade your wardrobe with this elegant Womens White Blazer, perfect for any occasion. Crafted from high-quality, lightweight fabric, it offers a tailored fit that accentuates your silhouette, while the classic notched lapel and single-button closure add a touch of sophistication. Ideal for both professional settings and casual outings, this versatile blazer pairs effortlessly with dresses, skirts, or trousers, ensuring a polished and stylish look.",https://mcbeans-apparel.local/product/756/?utm_source=Google%20Shopping&amp;utm_campaign=UK%20GS%20Fashion&amp;utm_medium=cpc&amp;utm_term=756,https://mcbeans-apparel.local/wp-content/uploads/2024/07/Blazer-Women-White.jpg,https://mcbeans-apparel.local/cart/?add-to-cart=756,in_stock,"USD 495.00",203,"Home &gt; Clothing &gt; Outerwear","Oldschool 88",1001,1002,yes,New,
